id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
9363,"Karena tidak ada transportasi, mereka jalan kaki.",0.0,,,,non_idiom,non_idiom,non_idiom
9364,"Ibu menaruh buah di meja, lalu memanggil anak-anak.",0.0,,,,non_idiom,non_idiom,non_idiom
9365,"Tolong matikan televisi, sudah larut!",0.0,,,,non_idiom,non_idiom,non_idiom
9366,Ibu membuat keripik pisang untuk camilan.,0.0,,,,non_idiom,non_idiom,non_idiom
9367,"Meskipun lelah, mereka tetap melanjutkan perjalanan.",0.0,,,,non_idiom,non_idiom,non_idiom
9368,Pak RW mengajak warga membersihkan lingkungan.,0.0,,,,non_idiom,non_idiom,non_idiom
9369,"Aduh, dompetku tertinggal di warung!",0.0,,,,non_idiom,non_idiom,non_idiom
9370,"Rian membeli sepatu, tetapi ukurannya tidak pas.",0.0,,,,non_idiom,non_idiom,non_idiom
9371,"Selamat pagi, semoga hari ini penuh berkah!",0.0,,,,non_idiom,non_idiom,non_idiom
9372,Tolong ambilkan gantungan baju di belakang.,0.0,,,,non_idiom,non_idiom,non_idiom
9373,"Walaupun gerimis, mereka tetap latihan.",0.0,,,,non_idiom,non_idiom,non_idiom
9374,"Ibu memotong ayam, lalu mencampurnya dengan bumbu.",0.0,,,,non_idiom,non_idiom,non_idiom
9375,"Ayo, cepat, kita akan ketinggalan kereta!",0.0,,,,non_idiom,non_idiom,non_idiom
9376,Dia memakai kacamata hitam saat keluar rumah.,0.0,,,,non_idiom,non_idiom,non_idiom
9377,Dita tidak ikut karena ada les tambahan.,0.0,,,,non_idiom,non_idiom,non_idiom
9378,"Ayah menyiram tanaman, sementara ibu memberi pupuk.",0.0,,,,non_idiom,non_idiom,non_idiom
9379,Jangan menaruh barang mudah pecah di tepi!,0.0,,,,non_idiom,non_idiom,non_idiom
9380,"Wah, lukisan ini sangat realistis!",0.0,,,,non_idiom,non_idiom,non_idiom
9381,"Setelah sholat isya, mereka membaca Al-Qur'an.",0.0,,,,non_idiom,non_idiom,non_idiom
9382,"Karena banjir, sekolah diliburkan.",0.0,,,,non_idiom,non_idiom,non_idiom
9383,"Ibu mencuci piring, lalu mengeringkannya.",0.0,,,,non_idiom,non_idiom,non_idiom
9384,Tolong jangan berdiri di tengah jalan!,0.0,,,,non_idiom,non_idiom,non_idiom
9385,"Hati-hati, ada anak kecil berlari!",0.0,,,,non_idiom,non_idiom,non_idiom
9386,"Meskipun sulit, ia berhasil menyelesaikan tugas.",0.0,,,,non_idiom,non_idiom,non_idiom
9387,Pak Camat memberikan bantuan kepada warga miskin.,0.0,,,,non_idiom,non_idiom,non_idiom
9388,"Aduh, kakinya terkilir saat bermain!",0.0,,,,non_idiom,non_idiom,non_idiom
9389,"Rina dan Dina pergi ke pantai, tetapi mereka tidak berenang.",0.0,,,,non_idiom,non_idiom,non_idiom
9390,Pohon kelapa di tepi pantai tumbang diterjang angin.,0.0,,,,non_idiom,non_idiom,non_idiom
9391,Tolong belikan terasi satu bungkus.,0.0,,,,non_idiom,non_idiom,non_idiom
9392,"Walaupun panas, petani tetap bekerja.",0.0,,,,non_idiom,non_idiom,non_idiom
9393,"Ibu mengupas mangga, lalu memotongnya.",0.0,,,,non_idiom,non_idiom,non_idiom
9394,"Ayo, jangan bermalas-malasan, bantu ibu!",0.0,,,,non_idiom,non_idiom,non_idiom
9395,"Meskipun hanya sisa lauk, rasanya tetap enak.",0.0,,,,non_idiom,non_idiom,non_idiom
9396,Rudi tidak masuk karena demam.,0.0,,,,non_idiom,non_idiom,non_idiom
9397,"Ayah membersihkan kebun, sementara ibu merapikan rumah.",0.0,,,,non_idiom,non_idiom,non_idiom
9398,Rumah makan itu ramai pengunjung setiap akhir pekan.,0.0,,,,non_idiom,non_idiom,non_idiom
9399,"Wah, kue ini sangat enak!",0.0,,,,non_idiom,non_idiom,non_idiom
9400,"Setelah mandi pagi, mereka sarapan bersama.",0.0,,,,non_idiom,non_idiom,non_idiom
9401,"Karena macet, mereka memutar jalan.",0.0,,,,non_idiom,non_idiom,non_idiom
9402,"Ibu menambahkan garam, lalu mengaduk sup.",0.0,,,,non_idiom,non_idiom,non_idiom
9403,Tolong matikan lampu di kamar mandi!,0.0,,,,non_idiom,non_idiom,non_idiom
9404,"Hati-hati, lantai basah!",0.0,,,,non_idiom,non_idiom,non_idiom
9405,"Meskipun sudah tua, beliau masih aktif mengajar.",0.0,,,,non_idiom,non_idiom,non_idiom
9406,Pak RT mengumumkan jadwal posyandu.,0.0,,,,non_idiom,non_idiom,non_idiom
9407,"Aduh, ponselku basah kena air!",0.0,,,,non_idiom,non_idiom,non_idiom
9408,"Rian dan Ana pergi ke bioskop, tetapi filmnya habis.",0.0,,,,non_idiom,non_idiom,non_idiom
9409,"Selamat siang, selamat menikmati makan siang!",0.0,,,,non_idiom,non_idiom,non_idiom
9410,Tolong ambilkan sendok di dapur.,0.0,,,,non_idiom,non_idiom,non_idiom
9411,"Walaupun hujan, mereka tetap berangkat kerja.",0.0,,,,non_idiom,non_idiom,non_idiom
9412,Dia menggendong adiknya sambil berjalan.,0.0,,,,non_idiom,non_idiom,non_idiom
9413,"Ayo, segera rapikan tempat tidur!",0.0,,,,non_idiom,non_idiom,non_idiom
9414,"Meskipun sederhana, acaranya berkesan.",0.0,,,,non_idiom,non_idiom,non_idiom
9415,Dina tidak ikut karena ada keperluan keluarga.,0.0,,,,non_idiom,non_idiom,non_idiom
9416,"Ayah memperbaiki lampu, sementara ibu membersihkan kaca.",0.0,,,,non_idiom,non_idiom,non_idiom
9417,Jangan menaruh gelas panas di atas meja!,0.0,,,,non_idiom,non_idiom,non_idiom
9418,"Wah, sepeda barumu sangat keren, Nak!",0.0,,,,non_idiom,non_idiom,non_idiom
9419,"Setelah ashar, Bu Aminah biasanya membuat kue untuk dijual.",0.0,,,,non_idiom,non_idiom,non_idiom
9420,"Tolong ambilkan buku yang di atas lemari itu, Nak!",0.0,,,,non_idiom,non_idiom,non_idiom
9421,"Wah, motor ini ternyata sangat irit bahan bakar!",0.0,,,,non_idiom,non_idiom,non_idiom
9422,"Dani pergi ke dokter, tetapi ia harus antre lama.",0.0,,,,non_idiom,non_idiom,non_idiom
9423,Jangan membiarkan anak bermain di dekat sumur!,0.0,,,,non_idiom,non_idiom,non_idiom
9424,"Ibu mencuci beras, lalu merendamnya sebentar.",0.0,,,,non_idiom,non_idiom,non_idiom
9425,"Aduh, minyak gorengnya habis!",0.0,,,,non_idiom,non_idiom,non_idiom
9426,"Karena hujan turun sejak pagi, genangan air di mana-mana.",0.0,,,,non_idiom,non_idiom,non_idiom
9427,"Ratih membaca novel di kamar, sementara kakaknya mengerjakan skripsi.",0.0,,,,non_idiom,non_idiom,non_idiom
9428,Selesaikan pekerjaan ini sebelum pukul lima sore!,0.0,,,,non_idiom,non_idiom,non_idiom
9429,Pak RT mengingatkan warga untuk membayar iuran keamanan.,0.0,,,,non_idiom,non_idiom,non_idiom
9430,"Selamat, kamu diterima di universitas impianmu!",0.0,,,,non_idiom,non_idiom,non_idiom
9431,"Tolong jangan menyentuh benda itu, masih panas!",0.0,,,,non_idiom,non_idiom,non_idiom
9432,"Meskipun usianya sudah lanjut, Pak RW masih aktif ikut kerja bakti.",0.0,,,,non_idiom,non_idiom,non_idiom
9433,"Paman pergi ke kebun, lalu memetik buah mangga.",0.0,,,,non_idiom,non_idiom,non_idiom
9434,"Awas, ada motor dari arah berlawanan!",0.0,,,,non_idiom,non_idiom,non_idiom
9435,"Karena tidak membawa jas hujan, tubuhnya basah kuyup.",0.0,,,,non_idiom,non_idiom,non_idiom
9436,"Ibu menumis bumbu, kemudian memasukkan sayuran.",0.0,,,,non_idiom,non_idiom,non_idiom
9437,Jangan membuang kemasan minuman ke sungai!,0.0,,,,non_idiom,non_idiom,non_idiom
9438,Hari ini toko kelontong di ujung jalan tutup lebih awal.,0.0,,,,non_idiom,non_idiom,non_idiom
9439,Adik menangis karena mainannya diambil teman.,0.0,,,,non_idiom,non_idiom,non_idiom
9440,"Tolong ambilkan sapu di belakang pintu dapur, Dik!",0.0,,,,non_idiom,non_idiom,non_idiom
9441,Alangkah dinginnya air pegunungan ini!,0.0,,,,non_idiom,non_idiom,non_idiom
9442,"Setelah menyelesaikan ujian, Sari langsung pulang.",0.0,,,,non_idiom,non_idiom,non_idiom
9443,"Ayo, cepat selesai, kita akan pergi ke rumah paman!",0.0,,,,non_idiom,non_idiom,non_idiom
9444,Pak Lurah mengumumkan adanya bantuan sembako untuk warga kurang mampu.,0.0,,,,non_idiom,non_idiom,non_idiom
9445,Jangan lupa membawa alat tulis besok pagi!,0.0,,,,non_idiom,non_idiom,non_idiom
9446,"Meskipun hanya sepeda bekas, kendaraan itu masih layak pakai.",0.0,,,,non_idiom,non_idiom,non_idiom
9447,"Andi pergi ke kantor pos, tetapi antreannya panjang.",0.0,,,,non_idiom,non_idiom,non_idiom
9448,"Aduh, jari tangan terkena duri!",0.0,,,,non_idiom,non_idiom,non_idiom
9449,"Ibu membuat es buah, sedangkan ayah memanggang sate.",0.0,,,,non_idiom,non_idiom,non_idiom
9450,"Tolong belikan mentega satu bungkus di warung, Le.",0.0,,,,non_idiom,non_idiom,non_idiom
9451,"Selamat malam, semoga tidurmu nyenyak!",0.0,,,,non_idiom,non_idiom,non_idiom
9452,"Karena listrik padam, mereka menggunakan lampu teplok.",0.0,,,,non_idiom,non_idiom,non_idiom
9453,"Siti menulis surat, lalu menempelkan prangko.",0.0,,,,non_idiom,non_idiom,non_idiom
9454,"Hati-hati, ada kucing melintas!",0.0,,,,non_idiom,non_idiom,non_idiom
9455,Rumah itu sudah lama kosong karena pemiliknya merantau.,0.0,,,,non_idiom,non_idiom,non_idiom
9456,"Pak RW memanggil warga untuk rapat, sementara sekretaris menyiapkan daftar hadir.",0.0,,,,non_idiom,non_idiom,non_idiom
9457,Jangan menata piring terlalu tinggi di rak!,0.0,,,,non_idiom,non_idiom,non_idiom
9458,"Wah, sepeda gunung ini sangat ringan!",0.0,,,,non_idiom,non_idiom,non_idiom
9459,"Setelah berenang, Rian langsung mandi air tawar.",0.0,,,,non_idiom,non_idiom,non_idiom
9460,"Tolong matikan keran di halaman, airnya mubazir!",0.0,,,,non_idiom,non_idiom,non_idiom
9461,"Meskipun sibuk, ibu tetap menyempatkan diri memasak untuk keluarga.",0.0,,,,non_idiom,non_idiom,non_idiom
9462,"Kakek membawa cangkul, lalu membersihkan rumput di kebun.",0.0,,,,non_idiom,non_idiom,non_idiom
9463,"Ayo, kita angkat sampah di selokan bersama-sama!",0.0,,,,non_idiom,non_idiom,non_idiom
9464,"Aduh, minuman panasnya tumpah di pangkuan!",0.0,,,,non_idiom,non_idiom,non_idiom
9465,"Dini gemar menari, sedangkan Dina lebih suka bernyanyi.",0.0,,,,non_idiom,non_idiom,non_idiom
9466,"Karena tidak ada koran pagi, Pak Haji membaca Al-Qur'an.",0.0,,,,non_idiom,non_idiom,non_idiom
9467,Camat setempat membagikan bibit sayuran kepada kelompok tani.,0.0,,,,non_idiom,non_idiom,non_idiom
9468,Tolong ambilkan kipas angin di ruang tengah!,0.0,,,,non_idiom,non_idiom,non_idiom
9469,"Selamat ulang tahun, semoga sehat selalu!",0.0,,,,non_idiom,non_idiom,non_idiom
9470,"Ibu membeli ikan segar di pasar, lalu langsung membersihkannya.",0.0,,,,non_idiom,non_idiom,non_idiom
9471,"Jangan bermain dengan korek api, nanti kebakaran!",0.0,,,,non_idiom,non_idiom,non_idiom
9472,"Meskipun hujan reda, jalanan masih becek.",0.0,,,,non_idiom,non_idiom,non_idiom
9473,"Ayah membersihkan kolam, sementara ibu memberi makan ikan.",0.0,,,,non_idiom,non_idiom,non_idiom
9474,"Rudi mengejar bus, tetapi bus sudah melaju kencang.",0.0,,,,non_idiom,non_idiom,non_idiom
9475,"Awas, jangan mendekat, ada tiang listrik miring!",0.0,,,,non_idiom,non_idiom,non_idiom
9476,"Karena lubang di jalan, ban sepeda motor itu bocor.",0.0,,,,non_idiom,non_idiom,non_idiom
9477,"Ibu guru memeriksa tugas, lalu memberi nilai di buku rapor.",0.0,,,,non_idiom,non_idiom,non_idiom
9478,Tolong letakkan gelas di atas tatakan!,0.0,,,,non_idiom,non_idiom,non_idiom
9479,"Wah, lezat sekali masakan Padang ini!",0.0,,,,non_idiom,non_idiom,non_idiom
9480,"Setelah mencuci muka, Dina mengeringkannya dengan handuk.",0.0,,,,non_idiom,non_idiom,non_idiom
9481,"Nenek merajut syal, sementara kakek memperbaiki jam dinding.",0.0,,,,non_idiom,non_idiom,non_idiom
9482,Jangan menyalakan kompor jika ada bau gas!,0.0,,,,non_idiom,non_idiom,non_idiom
9483,"Meskipun modal pas-pasan, dagangannya laris manis.",0.0,,,,non_idiom,non_idiom,non_idiom
9484,"Maya dan Lala pergi ke perpustakaan, tetapi mereka terlambat datang.",0.0,,,,non_idiom,non_idiom,non_idiom
9485,"Aduh, belanjaannya terlalu berat!",0.0,,,,non_idiom,non_idiom,non_idiom
9486,Pak Kades mengumumkan lomba peringatan kemerdekaan.,0.0,,,,non_idiom,non_idiom,non_idiom
9487,Tolong tutup lemari kaca dengan perlahan!,0.0,,,,non_idiom,non_idiom,non_idiom
9488,"Karena lupa membawa sarung tangan, Rina tidak jadi berkebun.",0.0,,,,non_idiom,non_idiom,non_idiom
9489,"Ibu memotong tahu, lalu menggorengnya hingga kecokelatan.",0.0,,,,non_idiom,non_idiom,non_idiom
9490,Selamat datang di acara syukuran keluarga!,0.0,,,,non_idiom,non_idiom,non_idiom
9491,"Ayo, kita berangkat sekarang, takut kemacetan!",0.0,,,,non_idiom,non_idiom,non_idiom
9492,"Meskipun lapar, ia menunggu adiknya pulang.",0.0,,,,non_idiom,non_idiom,non_idiom
9493,"Adik menempel stiker di dinding, sementara kakak menulis di buku.",0.0,,,,non_idiom,non_idiom,non_idiom
9494,Jangan meletakkan ponsel di atas kompor yang menyala!,0.0,,,,non_idiom,non_idiom,non_idiom
9495,"Wah, bagus sekali desain rumah ini!",0.0,,,,non_idiom,non_idiom,non_idiom
9496,"Setelah pulang kerja, Pak Yono langsung membersihkan sepeda.",0.0,,,,non_idiom,non_idiom,non_idiom
9497,"Karena tidak ada ojek, mereka berjalan kaki menyusuri gang.",0.0,,,,non_idiom,non_idiom,non_idiom
9498,"Ibu membawa keranjang anyaman, lalu pergi ke pekarangan.",0.0,,,,non_idiom,non_idiom,non_idiom
9499,"Tolong ambilkan garam di dapur, Bu!",0.0,,,,non_idiom,non_idiom,non_idiom
9500,"Hati-hati, ada pecahan beling di lantai!",0.0,,,,non_idiom,non_idiom,non_idiom
9501,"Meskipun sudah larut, warung kopi itu masih buka.",0.0,,,,non_idiom,non_idiom,non_idiom
9502,"Rian meminjam buku tetangga, tetapi ia lupa mengembalikannya.",0.0,,,,non_idiom,non_idiom,non_idiom
9503,"Ayah menanam pohon jambu, sementara ibu menanam pohon belimbing.",0.0,,,,non_idiom,non_idiom,non_idiom
9504,Jangan membuang sisa minyak goreng ke saluran pembuangan!,0.0,,,,non_idiom,non_idiom,non_idiom
9505,"Aduh, perutku sakit karena kebanyakan makan pedas!",0.0,,,,non_idiom,non_idiom,non_idiom
9506,"Pak Guru menulis soal di papan tulis, lalu murid mengerjakan.",0.0,,,,non_idiom,non_idiom,non_idiom
9507,"Karena tidak ada taksi, mereka menggunakan aplikasi ojek online.",0.0,,,,non_idiom,non_idiom,non_idiom
9508,Sapi-sapi digembalakan di padang rumput yang luas.,0.0,,,,non_idiom,non_idiom,non_idiom
9509,"Tolong belikan terigu satu kilogram, ya.",0.0,,,,non_idiom,non_idiom,non_idiom
9510,"Walaupun cuaca panas, petani tetap menyemprot pestisida.",0.0,,,,non_idiom,non_idiom,non_idiom
9511,"Ibu mencuci sayuran segar, lalu memotongnya.",0.0,,,,non_idiom,non_idiom,non_idiom
9512,"Ayo, jangan malas, bersihkan kamar tidur!",0.0,,,,non_idiom,non_idiom,non_idiom
9513,"Meskipun hanya rumah sederhana, tamu selalu merasa nyaman.",0.0,,,,non_idiom,non_idiom,non_idiom
9514,Rani tidak ikut pengajian karena ada tamu datang.,0.0,,,,non_idiom,non_idiom,non_idiom
9515,Mereka membersihkan kolam renang di belakang rumah.,0.0,,,,non_idiom,non_idiom,non_idiom
9516,Jangan lupa membawa senter saat camping!,0.0,,,,non_idiom,non_idiom,non_idiom
9517,"Wah, keren sekali tulisan kaligrafi itu!",0.0,,,,non_idiom,non_idiom,non_idiom
9518,"Setelah sholat ashar, mereka membaca wirid bersama.",0.0,,,,non_idiom,non_idiom,non_idiom
9519,"Karena angin kencang, banyak ranting pohon patah.",0.0,,,,non_idiom,non_idiom,non_idiom
9520,Tolong jangan menginjak taman yang baru dicangkul!,0.0,,,,non_idiom,non_idiom,non_idiom
9521,"Ibu menyiapkan minuman, lalu menyajikannya untuk tamu.",0.0,,,,non_idiom,non_idiom,non_idiom
9522,"Aduh, kardusnya robek karena kehujanan!",0.0,,,,non_idiom,non_idiom,non_idiom
9523,"Pak Ahmad membawa payung lipat, tetapi tetap basah.",0.0,,,,non_idiom,non_idiom,non_idiom
9524,"Ratih dan Doni merencanakan liburan ke Bali, namun mereka batal karena urusan keluarga.",0.0,,,,non_idiom,non_idiom,non_idiom
9525,"Selamat beristirahat, jangan lupa makan siang!",0.0,,,,non_idiom,non_idiom,non_idiom
9526,"Meskipun kelelahan, para sukarelawan tetap siaga di posko banjir.",0.0,,,,non_idiom,non_idiom,non_idiom
9527,"Ayah menyalakan radio, sementara ibu merapikan lemari pakaian.",0.0,,,,non_idiom,non_idiom,non_idiom
9528,"Ayo, cepat selesai, kita akan ke acara hajatan!",0.0,,,,non_idiom,non_idiom,non_idiom
9529,"Jangan lupa mematikan setrika setelah selesai, ya!",0.0,,,,non_idiom,non_idiom,non_idiom
9530,Rumah makan itu tutup sementara karena ada perbaikan.,0.0,,,,non_idiom,non_idiom,non_idiom
9531,Tolong ambilkan air putih di dispenser!,0.0,,,,non_idiom,non_idiom,non_idiom
9532,"Wah, suaramu sangat indah saat membaca puisi!",0.0,,,,non_idiom,non_idiom,non_idiom
9533,"Setelah sholat subuh, Pak Haji berjalan ke langgar.",0.0,,,,non_idiom,non_idiom,non_idiom
9534,"Karena tidak ada tempat parkir, mobil diparkir di tepi jalan.",0.0,,,,non_idiom,non_idiom,non_idiom
9535,"Ibu mengepel lantai, lalu mengelap jendela.",0.0,,,,non_idiom,non_idiom,non_idiom
9536,"Hati-hati, jalanan menanjak tajam!",0.0,,,,non_idiom,non_idiom,non_idiom
9537,"Meskipun sudah pensiun, Pak RT masih aktif di kegiatan sosial.",0.0,,,,non_idiom,non_idiom,non_idiom
9538,"Rudi membeli pulsa listrik, tetapi nomor meterannya salah.",0.0,,,,non_idiom,non_idiom,non_idiom
9539,"Adik bermain puzzle, sementara kakak membaca ensiklopedia.",0.0,,,,non_idiom,non_idiom,non_idiom
9540,Jangan membuang puntung rokok ke dalam pot tanaman!,0.0,,,,non_idiom,non_idiom,non_idiom
9541,"Aduh, laptopku tiba-tiba mati karena baterai habis!",0.0,,,,non_idiom,non_idiom,non_idiom
9542,"Bu Guru membagikan lembar jawaban, lalu murid-murid menulis.",0.0,,,,non_idiom,non_idiom,non_idiom
9543,"Karena ban kempes, Anto harus berhenti di pinggir jalan.",0.0,,,,non_idiom,non_idiom,non_idiom
9544,"Selamat sore, selamat menjalani ibadah!",0.0,,,,non_idiom,non_idiom,non_idiom
9545,Tolong belikan sabun cuci piring di warung samping.,0.0,,,,non_idiom,non_idiom,non_idiom
9546,Ayah membeli koran di warung langganan.,0.0,,,,non_idiom,non_idiom,non_idiom
9547,"Ibu menggoreng kerupuk, lalu meniriskan minyaknya.",0.0,,,,non_idiom,non_idiom,non_idiom
9548,"Ayo, segera rapikan meja belajarmu!",0.0,,,,non_idiom,non_idiom,non_idiom
9549,"Meskipun hanya lulusan SMK, usahanya sukses.",0.0,,,,non_idiom,non_idiom,non_idiom
9550,Dinda tidak masuk kerja karena ada keperluan keluarga.,0.0,,,,non_idiom,non_idiom,non_idiom
9551,"Ayah memperbaiki kipas angin, sementara ibu mencuci piring.",0.0,,,,non_idiom,non_idiom,non_idiom
9552,Jangan lupa membawa jaket tebal saat ke dataran tinggi!,0.0,,,,non_idiom,non_idiom,non_idiom
9553,"Wah, rumah barunya luas dan mewah!",0.0,,,,non_idiom,non_idiom,non_idiom
9554,"Setelah mandi sore, mereka bermain di halaman depan.",0.0,,,,non_idiom,non_idiom,non_idiom
9555,"Karena tidak ada tiket kereta, Rizky memutuskan naik bus.",0.0,,,,non_idiom,non_idiom,non_idiom
9556,"Ibu menaruh kue di atas meja, lalu memanggil anak-anak.",0.0,,,,non_idiom,non_idiom,non_idiom
9557,"Tolong jangan berdiri di depan kulkas, mau ambil es batu!",0.0,,,,non_idiom,non_idiom,non_idiom
9558,"Hati-hati, ada kabel yang terkelupas di lantai!",0.0,,,,non_idiom,non_idiom,non_idiom
9559,"Meskipun sulit, dia berhasil menyelesaikan pendidikannya.",0.0,,,,non_idiom,non_idiom,non_idiom
9560,"Amir membeli buku, tetapi uangnya kurang seribu rupiah.",0.0,,,,non_idiom,non_idiom,non_idiom
9561,"Aduh, air rebusannya meluap!",0.0,,,,non_idiom,non_idiom,non_idiom
9562,Pak RT mengingatkan warga untuk membayar iuran sampah.,0.0,,,,non_idiom,non_idiom,non_idiom
9563,Tolong matikan televisi jika sudah selesai menonton.,0.0,,,,non_idiom,non_idiom,non_idiom
9564,Bunga mawar merah itu mekar dengan indah.,0.0,,,,non_idiom,non_idiom,non_idiom
9565,Dia memperbaiki sepeda yang bocor sendiri.,0.0,,,,non_idiom,non_idiom,non_idiom
9566,"Karena lupa kunci, Fitri harus menunggu di teras.",0.0,,,,non_idiom,non_idiom,non_idiom
9567,"Ibu meracik bumbu, lalu menumisnya hingga harum.",0.0,,,,non_idiom,non_idiom,non_idiom
9568,"Ayo, kita doakan teman yang sedang sakit!",0.0,,,,non_idiom,non_idiom,non_idiom
9569,Ibu menggoreng tempe untuk lauk makan siang.,0.0,,,,non_idiom,non_idiom,non_idiom
9570,Rumah dinas itu ditempati oleh kepala desa baru.,0.0,,,,non_idiom,non_idiom,non_idiom
9571,Tolong ambilkan gunting di laci meja belajar.,0.0,,,,non_idiom,non_idiom,non_idiom
9572,Pesawat terbang melintas rendah di atas desa.,0.0,,,,non_idiom,non_idiom,non_idiom
9573,"Ayah membeli koran, lalu membacanya di ruang tamu.",0.0,,,,non_idiom,non_idiom,non_idiom
9574,Mereka duduk bersantai di teras rumah.,0.0,,,,non_idiom,non_idiom,non_idiom
9575,Dia menulis catatan kecil di buku agenda.,0.0,,,,non_idiom,non_idiom,non_idiom
9576,Jalan setapak di hutan itu licin karena lumut.,0.0,,,,non_idiom,non_idiom,non_idiom
9577,Ibu menyetrika baju seragam anak-anak.,0.0,,,,non_idiom,non_idiom,non_idiom
9578,Mobil box itu mengangkut barang ke pasar.,0.0,,,,non_idiom,non_idiom,non_idiom
9579,"Pak Lurah memberikan sambutan, sementara warga mendengarkan.",0.0,,,,non_idiom,non_idiom,non_idiom
9580,Jangan menyentuh layar monitor dengan jari!,0.0,,,,non_idiom,non_idiom,non_idiom
9581,Dia mengantar adiknya ke tempat les piano.,0.0,,,,non_idiom,non_idiom,non_idiom
9582,"Meskipun sudah tua, motor itu masih lincah.",0.0,,,,non_idiom,non_idiom,non_idiom
9583,Sayur lodeh buatan ibu sangat lezat.,0.0,,,,non_idiom,non_idiom,non_idiom
9584,Mereka memasang lampu hias untuk perayaan.,0.0,,,,non_idiom,non_idiom,non_idiom
9585,Dia menyiram bunga dengan selang panjang.,0.0,,,,non_idiom,non_idiom,non_idiom
9586,Pohon pisang di belakang rumah sudah berbuah.,0.0,,,,non_idiom,non_idiom,non_idiom
9587,"Ibu memotong buah, lalu menyusunnya di piring.",0.0,,,,non_idiom,non_idiom,non_idiom
9588,Rumah gadang itu berdiri megah di tengah kota.,0.0,,,,non_idiom,non_idiom,non_idiom
9589,"Meskipun banyak rintangan, tim itu tetap juara.",0.0,,,,non_idiom,non_idiom,non_idiom
9590,Dia membaca buku resep untuk mencoba masakan baru.,0.0,,,,non_idiom,non_idiom,non_idiom
9591,"Ayah mengecat pagar, sementara ibu membersihkan taman.",0.0,,,,non_idiom,non_idiom,non_idiom
9592,Ayah memancing ikan di sungai bersama teman-teman.,0.0,,,,non_idiom,non_idiom,non_idiom
9593,"Wah, masakanmu enak sekali!",0.0,,,,non_idiom,non_idiom,non_idiom
9594,"Setelah olahraga, mereka minum air kelapa.",0.0,,,,non_idiom,non_idiom,non_idiom
9595,Ibu menanam cabai di pot-pot bekas cat.,0.0,,,,non_idiom,non_idiom,non_idiom
9596,Mereka berbelanja kebutuhan bulanan di supermarket.,0.0,,,,non_idiom,non_idiom,non_idiom
9597,Dia memanjat pohon jambu untuk memetik buah.,0.0,,,,non_idiom,non_idiom,non_idiom
9598,"Hati-hati, lantainya baru dipel!",0.0,,,,non_idiom,non_idiom,non_idiom
9599,"Meskipun murah, barang itu berkualitas bagus.",0.0,,,,non_idiom,non_idiom,non_idiom
9600,"Pak Budi membawa oleh-oleh, lalu membagikannya ke tetangga.",0.0,,,,non_idiom,non_idiom,non_idiom
9601,"Aduh, kacamata saya tertinggal di masjid!",0.0,,,,non_idiom,non_idiom,non_idiom
9602,"Bu Guru menerangkan materi, kemudian memberi latihan.",0.0,,,,non_idiom,non_idiom,non_idiom
9603,Sepeda motor itu bersuara kasar karena knalpot bocor.,0.0,,,,non_idiom,non_idiom,non_idiom
9604,Mereka mendirikan tenda di tepi pantai.,0.0,,,,non_idiom,non_idiom,non_idiom
9605,Tolong ambilkan sapu di belakang pintu.,0.0,,,,non_idiom,non_idiom,non_idiom
9606,Dia menyapu halaman yang penuh daun kering.,0.0,,,,non_idiom,non_idiom,non_idiom
9607,Ibu menambahkan garam ke dalam sup ayam.,0.0,,,,non_idiom,non_idiom,non_idiom
9608,"Ayo, jangan menunda-nunda pekerjaan!",0.0,,,,non_idiom,non_idiom,non_idiom
9609,Anak-anak menonton film animasi di televisi.,0.0,,,,non_idiom,non_idiom,non_idiom
9610,Dia menyusun piring dan gelas di rak dapur.,0.0,,,,non_idiom,non_idiom,non_idiom
9611,Mobil ambulan melaju dengan sirine berbunyi.,0.0,,,,non_idiom,non_idiom,non_idiom
9612,Jangan membuang sampah ke sungai!,0.0,,,,non_idiom,non_idiom,non_idiom
9613,Mereka membantu tetangga yang sedang pindahan.,0.0,,,,non_idiom,non_idiom,non_idiom
9614,"Setelah sholat isya, mereka membaca surat Yasin.",0.0,,,,non_idiom,non_idiom,non_idiom
9615,"Karena macet, Budi terlambat sampai di kampus.",0.0,,,,non_idiom,non_idiom,non_idiom
9616,Dia membungkus kado dengan kertas bermotif.,0.0,,,,non_idiom,non_idiom,non_idiom
9617,Tolong matikan lampu ruang tamu!,0.0,,,,non_idiom,non_idiom,non_idiom
9618,"Hati-hati, ada genangan air di lantai dapur!",0.0,,,,non_idiom,non_idiom,non_idiom
9619,"Meskipun panas, petani tetap bekerja di ladang.",0.0,,,,non_idiom,non_idiom,non_idiom
9620,Pak RT mengajak warga untuk kerja bakti membersihkan selokan.,0.0,,,,non_idiom,non_idiom,non_idiom
9621,Ibu mengepel lantai kamar mandi hingga bersih.,0.0,,,,non_idiom,non_idiom,non_idiom
9622,Pasar pagi sangat ramai dengan pedagang.,0.0,,,,non_idiom,non_idiom,non_idiom
9623,Dia mengunci sepeda dengan gembok baja.,0.0,,,,non_idiom,non_idiom,non_idiom
9624,Mereka menikmati pemandangan dari puncak bukit.,0.0,,,,non_idiom,non_idiom,non_idiom
